제목,저자,역자,출간일,페이지수,판매가
처음 배우는 매트랩,방성완,-,2023-01-02,416,"30,000"
SAS와 메타분석을 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀,-,2023-01-02,516,"34,000"
정보교과교육론(3판),"최현종, 전용주",-,2023-01-02,488,"30,000"
"IT CookBook, 기초전자실험 with PSpice(3판)",홍순관,-,2023-01-02,308,"22,000"
경제수학 강의(3판),김성현,-,2023-01-02,464,"23,000"
글로벌 사회와 리더십(2판),안광현,-,2023-01-02,416,"28,000"
행동 재무론,고광수,-,2023-01-02,596,"32,000"
"IT CookBook, 알기 쉽게 해설한 파이썬 with 컴퓨팅 사고력","김충석, 김지연",-,2023-01-02,328,"24,000"
MATLAB으로 배우는 공학 수치해석(3판),방성완,-,2023-01-02,360,"28,000"
Cengel의 알기 쉬운 열역학(6판),"Yunus A. Çengel, John M. Cimbala, Afshin J. Ghajar","김택영, 한진호, 김덕종, 김우태, 이무연, 전문수",2023-01-02,528,"34,000"
Cengel의 알기 쉬운 열전달(6판),"Yunus A. Çengel, John M. Cimbala, Afshin J. Ghajar","김택영, 김덕종, 김중배, 김혜민, 성연모, 이무연",2023-01-02,520,"34,000"
"IT CookBook, 알기 쉽게 해설한 자바 프로그래밍(10판)",김충석,-,2023-01-02,780,"30,000"
"IT CookBook, 비즈니스 애널리틱스를 위한 데이터 마이닝","Galit Shmueli, Peter C. Bruce, Peter Gedeck, Nitin R. Patel","조성준, 조재희, 조성배, 이성임, 신현정, 김성범",2023-01-02,592,"39,000"
현대경영과학(9판),김세헌,-,2023-01-02,592,"35,000"
"IT CookBook, 네트워크 해킹과 보안(4판)","양대일, 홍성혁",-,2023-01-02,516,"32,000"
"IT CookBook, 쉽게 배우는 운영체제(2판)",조성호,-,2023-01-02,616,"32,000"
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(8판)","우재남, 박길식",-,2023-01-02,580,"34,000"
"STEM CookBook, 전기 및 하이브리드 자동차(3판)",Iqbal Husain,"임원식, 김정윤, 김기찬, 강동우",2023-01-02,592,"35,000"
"IT CookBook, 컴퓨터 비전과 딥러닝",오일석,-,2023-01-02,664,"39,000"
리더십 : 이론과 실제 (9판),Peter G. Northouse,김남현,2023-01-02,660,"36,000"
"IT CookBook, JAVA 마스터",송미영,-,2023-01-02,732,"30,000"
"IT CookBook, 데이터 과학을 위한 파이썬 프로그래밍(2판)",최성철,-,2023-01-02,540,"30,000"
"IT CookBook, 생활 속 예제로 배우는 생생 데이터 분석",조인석,-,2023-01-02,428,"23,000"
"IT CookBook, 파워포인트 2019",김지연,-,2023-01-02,440,"20,000"
메타버스로 구현하는 나만의 세상,"한규정, 최종원, 강신조, 심민정, 안형준, 위새람, 최동일",-,2023-01-02,388,"23,000"
국제경영학 : 환경과 운영 (17판),"John D. Daniels, Lee H. Radebaugh, Daniel P. Sullivan, Reid W. Click","문정빈, 김태중, 노태우, 정선욱, 편주현",2023-01-02,716,"41,000"
머신러닝을 위한 수학,이병준,-,2023-01-02,344,"28,000"
위상수학 첫걸음,Fred H. Croom,"한빛수학교재연구소, 김상현(감수)",2023-01-02,380,"29,000"
"IT CookBook, 전자기학 : ELECTROMAGNETICS (2판)","Arlon T. Adams, Jay Kyoon Lee(이재균), Jay Kyoon Lee  - 감수",유태훈,2023-01-02,576,"35,000"
반도체 특강 : 소자편,진종문,-,2023-01-02,480,"28,000"
"IT CookBook, 처음 만나는 자동제어공학(2판)",김성중,-,2023-01-02,288,"23,000"
누구나 R 데이터 분석,이윤환,-,2023-01-02,436,"27,000"
"STEM CookBook, 정수론 첫걸음",Kuldeep Singh,"한빛수학교재연구소, 김도형(감수)",2023-01-02,456,"33,000"
"IT CookBook, C# 프로그래밍 for Beginner",우재남,-,2023-01-02,632,"27,000"
R과 jamovi를 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀,-,2023-01-02,448,"32,000"
글로벌 시장환경과 국제경영,"이장로, 신만수, 김창수",-,2023-01-02,564,"40,000"
미래 세상의 모빌리티,"임덕신, 임현준",-,2023-01-02,280,"23,000"
"IT CookBook, 처음 만나는 전력공학(2판)","박숭규, 최은혁, 최병숙",-,2023-01-02,440,"27,000"
경영경제 통계학 4판 : Excel과 R의 실전적 활용,"Sanjiv Jaggia, Alison Kelly","장혜정, 이상규",2023-01-02,820,"38,000"
4차 산업혁명 시대의 국제마케팅(8판),"이장로, 문희철, 이춘수",-,2023-01-02,452,"29,000"
스마트 물류 비즈니스를 위한 글로벌 공급사슬관리(2판),"김종락, 김시영, 신건철",-,2023-01-02,320,"29,000"
신제품 개발 관리,김종배,-,2023-01-02,412,"29,000"
광고론(2판),김종배,-,2023-01-02,408,"34,000"
"전략경영 : 개념과 사례, 경쟁우위 접근법 (제17판)","Fred R. David, Forest R. David, Meredith E. David","박재신, 신상윤, 김장훈",2023-01-02,612,"39,000"
"STEM CookBook, 문제 해결력을 키우는 기계설계",이상범,-,2023-01-02,680,"34,000"
경영분석(6판),"장영광, 송치승",-,2023-01-02,556,"36,000"
"IT CookBook, 기초부터 시작하는 PLC : OMRON NX","정완보, 이진호",-,2023-01-02,636,"32,000"
"IT CookBook, 원리로 이해하는 전력전자공학(2판)","원충연, 김영렬, 이택기, 류홍제, 故정용채",-,2023-01-02,588,"30,000"
"IT CookBook, TCP/IP 소켓 프로그래밍(2판)",김선우,-,2023-01-02,600,"32,000"
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크(3판)",박기현,-,2023-01-02,676,"30,000"
"IT CookBook, 우분투 리눅스(3판)",이종원,-,2023-01-02,800,"34,000"
거시경제학(3판),주상영,-,2023-01-02,640,"36,000"
실용적 접근 방식의 경영학원론(10판),"Angelo Kinicki, Denise Breaux Soignet",김안드레아,2023-01-02,800,"39,000"
"IT CookBook, C로 시작하는 컴퓨터 프로그래밍(4판)","문호석, 손명호",-,2023-01-02,432,"23,000"
"IT CookBook, 인터넷 해킹과 보안(4판)",김경곤,-,2023-01-02,456,"29,000"
"IT CookBook, 파이썬 데이터 분석 for Beginner",우재남,-,2023-01-02,504,"28,000"
"Strategic Management, 17th Edition","Fred R. David, Forest R. David, Meredith E. David",-,2023-01-02,672,"79,000"
"IT CookBook, 엑셀 2019",김지연,-,2023-01-02,456,"20,000"
