songId,title,artist,genre,album,lyricist,composer,date,img,comment,like,lyric,plylstSeq
1936373,영등포의 밤,오기택,성인가요/트로트,"20골드 (영등포의 밤,바닷가에서)",김부해,김부해,19700101,https://cdnimg.melon.co.kr/cm/album/images/003/98/692/398692_500.jpg/melon/resize/282/quality/80/optimize,0,44,,460454132 518268022
57313,미소,서유석,포크/블루스,서유석 골든 힛트 앨범,주석천 (Sok-Chon Joo),주석천 (Sok-Chon Joo),19781025,https://cdnimg.melon.co.kr/cm/album/images/000/04/051/4051_500.jpg/melon/resize/282/quality/80/optimize,0,37,,460454148 483794266
1606413,회상 (December),터보,발라드,터보 (Turbo) 3집 'Born Again',이승호,윤일상,1997,https://cdnimg.melon.co.kr/cm/album/images/003/48/448/348448_500.jpg/melon/resize/282/quality/80/optimize,29,12951,"겨울 오면은 우리 둘이서 
항상 왔었던 바닷가
시린 바람과 하얀 파도는
예전 그대로였지만
나의 곁에서 재잘거리던
너의 해맑던 그 모습
이젠 찾을 수 없게 되었어
아무도 없는 겨울의 바닷가
너무나 슬퍼 보인다고
우리가 바다 곁에서
친구가 되자고
내 등에 숨어 바람을 피할 때
네 작은 기도를 들었지
언제나 너의 곁에 우리 항상
함께 해달라고
거친 파도가 나에게 물었지
왜 혼자만 온거냐고
넌 어딜갔냐고
보이지 않니 나의 뒤에 숨어서
바람을 피해 잠을 자고 있잖아
따뜻한 햇살 내려오면 깰거야
조금만 기다려 다시는 너를
볼수 없을거라는
얘기를 차마 할순 없었어
하지만 나도 몰래
흘린 눈물 들킨거야
그녈 절대로 찾을 수 없다고
나를 스쳐갔던
바람이 말했나봐
어딜가도 그녀 모습 볼수가
없다고 내게 말했나봐
어디가냐고 말을 하라고
자꾸만 재촉하던 바닷가
결국엔 나처럼
눈물이 되고야 말았어
하얗게 내린 바다의 눈물로
니 모습 만들어
그 곁에서 누워
니 이름을 불러 봤어
혹시 너 볼까봐 녹아 버릴까
걱정이 됐나봐
햇살을 가린
구름 떠나지 않잖아
너 없는 바다 눈물로만 살겠지
거칠은 파도 나를 원망하면서
너없이 혼자 찾아오지 말라고
널 데려오라고
니 모습 볼 수 없다해도
난 알아
내 볼에 닿은
하얀 함박눈 촉촉한
너의 입맞춤과 눈물이라는 걸
그녈 절대로 찾을 수 없다고
나를 스쳐갔던
바람이 말했나봐
어딜가도 그녀 모습 볼수가
없다고 내게 말했나봐
어디가냐고 말을 하라고
자꾸만 재촉하던 바닷가
결국엔 나처럼
눈물이 되고야 말았어
니 모습 볼 수
없다해도 난 알아
내 볼에 닿은 하얀
함박눈 촉촉한
너의 입맞춤과
눈물이라는 걸",445029956 418666508
45926,내가 아는 한가지,이덕진,발라드,Sad Wings Of Destiny,박주연,최성원,19920112,https://cdnimg.melon.co.kr/cm/album/images/000/04/418/4418_500.jpg/melon/resize/282/quality/80/optimize,16,4559,"살아가는 동안 한번도 안 올지 몰라 
사랑이라는 감정의 물결 
그런 때가 왔다는 건 삶이 가끔 주는 선물 
지금까지 잘 견뎌왔다는 

널 만났다는 건 외롭던 날들의 보상인걸 
그래서 나는 맞이하게 된거야 
그대라는 커다란 운명 

이 세상의 무엇 하나도 
나를 꺾을 수는 없겠지만 
너의 뜻대로 살아가는 것만이 
내가 아는 한가지 

네가 원하는 건 나 또한 원하는거야 
이미 나는 따로 있질 않아 
이별이라는 것 또한 사랑했던 사람만이 
가질 수 있는 추억일지 몰라 

널 만났다는 건 외롭던 날들의 보상인걸 
그래서 나는 맞이하게 된거야 
그대라는 커다란 운명 

이 세상의 무엇 하나도 
나를 꺾을 수는 없겠지만 
너의 뜻대로 살아가는 것만이 
내가 아는 한가지 

널 만났다는 건 외롭던 날들의 보상인걸 
그래서 나는 맞이하게 된거야 
그대라는 커다란 운명",406125585 433145748
51430,나만의 그대,이상우,발라드,나만의 그대/그녀를 만나는 곳 100M전/그 언젠가처럼,유정연,유정연,1991,https://cdnimg.melon.co.kr/cm/album/images/000/04/493/4493_500.jpg?7f0550b03330e2ee3bad89c0b12dc47d/melon/resize/282/quality/80/optimize,2,341,"내 맘속에 간직하고픈
그대 사랑스런 모습은
잊을 수 없어
희미해지는 불빛속에
눈을 감고 생각해 보네
내곁에 남아있는 사진 속에서
새하얀 미소를 느끼네
사랑스런 눈길만을 내게 보내준
그대 눈빛만은 지울수 없어
세월이 지나가면 잊는다해도
내 마음속에 깊은 곳으로
외로운 내게
불빛 되어 밝혀주는
어쩔수없는 나만의 그대여

밀려오는 외로움속에
마음 깊은 곳에
숨겨진 그대의 모습
내게 남겨진 기억속에
지난 추억 스쳐지나네
내곁에 남아있는 사진 속에서
새하얀 미소를 느끼네
사랑스런 눈길만을 내게 보내준
그대 눈빛만은 지울수 없어
세월이 지나가면 잊는다해도
내 마음속에 깊은 곳으로
외로운 내게
불빛 되어 밝혀주는
어쩔수없는 나만의 그대여",100098230 464884268
455121,첫사랑이야,이용,발라드,1981~2003 History (New & Best Live Version),지명길,이호준,20030630,https://cdnimg.melon.co.kr/cm/album/images/000/31/182/31182_500.jpg/melon/resize/282/quality/80/optimize,0,60,,436050976 471519045
4648269,어느 소녀의 사랑 이야기,민해경,"발라드, 성인가요/트로트",민해경 골든,박건호,이범희,20060602,https://cdnimg.melon.co.kr/cm/album/images/022/56/656/2256656_500.jpg/melon/resize/282/quality/80/optimize,3,485,"그대를 만날때면 
이렇게 포근한데 
이룰 수 없는 사랑을 사랑을  
어쩌면 좋아요 
미소를 띄어봐도 마음은 슬퍼져요 
사랑에 빠진 나를 
나를 어찌할 수 없나요 
내 인생에 반은 그대에게 있어요 
그 나머지도 나의것은 아니죠 
그대를 그대를 그리워하며 
살아야 하니까 
내 인생의 반은 그대에게 있어요 
그 나머지도 나의것은 아니죠 
그대를 그대를 그리워하며 
살아야 하니까 
이마음 다바쳐서 좋아한 사랑인데 
이룰 수 없는 사랑을 사랑을  
어쩌면 좋아요 
이룰 수 없는 사랑을 사랑을 
어쩌면 좋아요",425524406 414232371
60921,물안개,석미경,발라드,석미경 1집,석미경,석미경,198901,https://cdnimg.melon.co.kr/cm/album/images/000/04/036/4036_500.jpg/melon/resize/282/quality/80/optimize,8,1605,"하얗게 피어나는 물안개처럼
당신은 내 가슴 속에
살며시 피어났죠
조용히 밀려드는 물안개처럼
우리의 속삭임도 그러했는데
하얗게 지새운 밤을
당신은 잊었나요
그 날의 기억들도
당신은 잊었나요
기다림에 지쳐버린
이 내 작은 영혼
온 밤을 꼬박 새워
널 위해 기도하리

조용히 밀려드는 물안개처럼
우리의 속삭임도 그러했는데
하얗게 지새운 밤을
당신은 잊었나요
그 날의 기억들도
당신은 잊었나요
기다림에 지쳐버린
이 내 작은 영혼
온 밤을 꼬박 새워
널 위해 기도하리",439176590 433426746
34256568,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,랩/힙합,쇼미더머니 10 Episode 2,sokodomo,Zion.T,20211113,https://cdnimg.melon.co.kr/cm2/album/images/107/75/252/10775252_20211112142804_500.jpg?0b4c0579b0b5d988f215679eb670dc8d/melon/resize/282/quality/80/optimize,"1,168",221733,,445557345 458920936
66261,이 밤의 끝을 잡고,솔리드,R&B/Soul,Solid,김혜선,"정재윤,  김형석",19950301,https://cdnimg.melon.co.kr/cm/album/images/000/05/397/5397_500.jpg/melon/resize/282/quality/80/optimize,59,15374,"다신 널 볼 수 없겠지 
나의 입술이 너의 하얀 
어깨를 감싸 안으며 
그렇게 우린 이 밤의 끝을
잡고 사랑했지만 
마지막 입맞춤이 아쉬움에 떨려도 
빈 손으로 온 내게 세상이 준 선물은 
너란 걸 알기에 참아야겠지 
내 맘 아프지 않게 그 누구보다도
행복하게 살아야 해 모든 걸 잊고
이 밤의 끝을 잡고 있는 나의 사랑이 
더 이상 초라하지 않게 
나를 위해 울지 마 난 괜찮아
그래 어쩌면 난 오래 전부터 
우리의 사랑도 어쩔 수 없는 
이별이 찾아 올지도 모른다고 
생각했어 
하지만 울지 마 이 밤의 끝은 내가
잡고 있을 테니
넌 그렇게 언제나 웃으면서 
살아야 돼 
제발 울지 말고 나를 위해 
웃어줘 제발 
마지막 입맞춤이 아쉬움에 떨려도 
빈 손으로 온 내게 세상이 준 선물은 
너란 걸 알기에 참아야겠지 
내 맘 아프지 않게 그 누구보다도
행복하게 살아야 해 모든 걸 잊고
이 밤의 끝을 잡고 있는 나의 사랑이 
더 이상 초라하지 않게 
나를 위해 울지 마 난 괜찮아
나의 가슴으로 너와 함께 나누었던 
이 밤을 간직한 채 잠시 
널 묻어야 하겠지 
나의 눈물이 널 붙잡고 있지만 
니가 힘들지 않게 웃으며 
보내야 겠지 
내 맘 아프지 않게 그 누구보다도
행복하게 
모든 걸 잊고 이 밤의 끝을 잡고
있는 나의 사랑이 더 이상
초라하지 않게 
나를 위해 울지마 난 괜찮아 우",418666508 100098486
