순위,카테고리,채널명,구독자수,조회수,비디오
1,음악/댄스/가수,BLACKPINK,88000000,30959130000,514
2,음악/댄스/가수,BANGTANTV,74600000,20279390000,2195
3,음악/댄스/가수,HYBE LABELS,70600000,27690310000,1185
4,음악/댄스/가수,SMTOWN,31700000,26928580000,4121
5,음악/댄스/가수,JYP Entertainment,26900000,19395230000,1678
6,키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],26500000,11052880000,223
7,음악/댄스/가수,1MILLION Dance Studio,26000000,7799860000,5385
8,음악/댄스/가수,1theK (원더케이),24500000,23704760000,18177
9,미분류,Alan Becker,22000000,5103090000,152
10,음악/댄스/가수,Mnet K-POP,20500000,14733070000,32240
11,TV/방송,KBS WORLD TV,18900000,14909740000,63147
12,음악/댄스/가수,officialpsy,18000000,10560430000,127
14,음식/요리/레시피,Jane ASMR 제인,17600000,7261560000,2116
13,음악/댄스/가수,JFlaMusic,17600000,3786310000,317
15,음악/댄스/가수,TWICE,15800000,4860220000,1092
16,음악/댄스/가수,BIGBANG,15000000,7753850000,776
17,음식/요리/레시피,Hongyu ASMR 홍유,14900000,4979120000,632
18,키즈/어린이,Boram Tube ToysReview [보람튜브 토이리뷰],14600000,5006380000,607
19,키즈/어린이,서은일상이야기,14000000,2574480000,696
20,키즈/어린이,BIBO와 장난감,12900000,3166790000,183
