plylstSeq,title,tag,like,songIds
516301214,"빙글빙글 낭만이 물들어가는, LP판 느낌의 감성팝", #낭만 #감성 #LP #힐링 #휴식 #사랑 #분위기 #가을 #추억 #팝 ,400,33880688 36359244 36148918 35576427 33664280 34236541 34849268 36065380 36065544 34177387 35711221 32037387 35683938 34870180 34565193 34632799 35669496 35030723 33369491 35535688 34298587 35644303 32993259 34932273 34319926 34886826 1907916 34521530 34089401 35711125 35733012 35667403 34357468 36287603 34582674 35697469 33464621 33708126 32037386 34607788 32862476 34089402 2373463 34089399 35062409 32908207 35684359 35644306
523235480,IVE 멤버들의 추천곡들, #IVE #아이브 #이서 #원영 #레이 #유진 #리즈 #가을 ,683,33213267 32544401 33502105 33469725 32464068 36060021 35920683 35749250 35409647 8181398 34513924 30136682 33651670 35790774 35723567 35072232 4225822 35745727 35709952 33535734 33429059 32190209 33516171 31598143 35371796 31031536 35018129 34081816 35337708 31979492 35225797 32074560 30392907 30565630 31230094 30512672 4583488 34927767 35254425 32106047 31161291 31836326 4184827 31674790 35236328 34836243 35192383 35039563 897261 30118149
523324194,가을에 듣는 곡들 ༄, #가을 #단풍 #낙엽 #고독 #뉴진스 #아이브 #르세라핌 #NewJeans #IVE #LESSERAFIM ,673,354198 5406681 33618864 2425149 4252725 30669593 30635480 49829 30636089 34043999
523237139,2023 2 11 아이브 첫 콘서트, #IVE #아이브 #이서 #원영 #헤이 #유진 #리즈 #가을 ,690,36356992 36356993 36356994 36356995 36356996 36356997 36356998 36356999 36357000 36357001 36318125 36040385 35730693 35730694 35646683 35546497 35546498 34847378 34847379 34349913 34349914
505785411,도입부 3초만에 바로 반해버린 인생 팝송 ①, #기분전환 #도입부 #인생곡 #신나는 #감성 #취향저격 #힐링 #휴식 #드라이브 #가을 ,1995,31371068 33507852 33235605 31249458 5490888 31759423 33976155 30660347 32687924 1914396 30473977 33350193 32485091 33045573 32005766 4629484 32904870 31805782 32874029 31714313 32131770 7931319 2697271 106730199 31736111 30645497 32806784 32206750 30379809 32993141 32542659 33369339 34578632 30612488 7931262 3699046 31265060 1809473 32957336 5498605 31889615 30877048 5433708 31852679 31090508 33841966 32063087 31876108 4131881
512333525,"잠 못드는 밤, 무드등켜고 듣기좋은 감성 인디음악", #인디 #가을 #무드등 #센치 #공허함 #새벽 #비오는날 #위로 #감성 #버스 ,721,35722995 35006084 35006621 31324614 35013205 33617662 4644705 35557158 35553933 33111208 33149342 32226225 34077204 32908999 33521398 30226692 34056213 33343249 32476250 33000611 31219313 34319488 34225739 33149344 33198346 34943017 35192394 34965269 34431323 31537782 31671358 34563501 34173235 31790612 34187533
514101009,가을에 꺼내듣는 발라드 TOP100, #가을 #발라드 #추억 #탑백 #TOP100 #인기 #차트 ,5253,30962526 418168 31666417 30672529 30314784 3894276 35669445 1467722 31388145 32156286 1944399 104184 686651 837567 5466962 4543502 623902 36100714 30486509 519620 489055 3929471 5458267 4646573 1177475 3910821 3620493 8302 3549031 1798588 32052432 33043504 5398990 732519 1568562 2544949 19807 8199190 30669593 30072072 316434 732512 460396 9573 32031043 530124 32034629 9631530 420534 1264830
499208810,"걷기 좋은 날, 콧바람 쐬며 듣고싶은 Acoustic POP", #어쿠스틱 #Acoustic #힐링 #기분전환 #가을 #봄 #휴식 #잔잔한 #걸을때 #피크닉 ,542,35995950 35722409 35660563 35585091 35580784 35510586 35508869 35500715 35374568 35023483 35254369 35254234 34786157 34831817 31885631 33267411 33618536 33671629 31551973 30662959 34758888 34859388 34886820 34503228 34651024 34664032 34573749 34652746 34618778 34154929 34156832 34011064 31001323 33935109 31441268 32993722 33154556 33156422 30970589 33301078 32397452 32160139 33638690 30472717 33781533 5756650 31127789 31030739 32422428
514861080,과제할 때 조용한 팝송을 듣고 싶다면., #공부 #새벽 #가을 #가을감성 #힐링 #밤 #팝송 #공부할때 #새벽공부 #감성 ,883,35367302 34544362 34547779 32596363 35556934 33873192 33856713 34125243 33873219 34385931 30818558 33681386 35557034 34636089 32422428 31674263 35340347 34713953 33529153 33738725 35613813 33487212 34255694
514202544,"묘하게 포근한 오색 빛깔, 포크팝", #포크 #어쿠스틱 #잔잔한 #감성 #가을 #낙엽 #단풍 #센치한 #추억 #쓸쓸한 ,381,36451865 35580148 36094252 36383147 34566749 36375274 36258657 35983149 33823042 35808238 36444145 36413787 8995477 34014128 36402389 36195691 35679700 36374131 36241833 35809931 35724400 36110661 34014520 35529689 35634095 36234360 35299698 34289407 33371262 35384278 35919918 35919919 36385157 20604994 35900524 32184366 35436018 20638286 35920687 35176994 36245757 35484282 36110703 107889072 35708956 21114630 36135571 35485807 35951649
