songId,title,artist,genre,album,lyricist,composer,date,img,comment,like,lyric,plylstSeq
3715676,FANTASTIC BABY,BIGBANG (빅뱅),댄스,빅뱅 미니앨범 5집 'ALIVE',G-DRAGON,G-DRAGON,20120229,https://cdnimg.melon.co.kr/cm/album/images/020/84/128/2084128_500.jpg/melon/resize/282/quality/80/optimize,222,93187,"FANTASTIC BABY
여기 붙어라 모두 모여라 
WE GON’ PARTY LIKE  
리리리라라라 
맘을 열어라 머릴 비워라  
불을 지펴라 리리리라라라 
정답은 묻지 말고 그대로 받아들여  
느낌대로 가 ALRIGHT 
하늘을 마주하고 두 손을 다 위로  
저 위로 날뛰고 싶어 OH 
나나나나나 나나나나나  
WOW FANTASTIC BABY 
DANCE I WANNA DAN DAN DAN DAN  
DANCE FANTASTIC BABY 
DANCE I WANNA DAN DAN DAN DAN  
DANCE WOW FANTASTIC BABY 
이 난장판에 HEY 끝판 왕 차례 HEY 
땅을 흔들고 3분으론 불충분한  
RACE WAIT 
분위기는 과열  
HUH CATCH ME ON FIRE HUH 
진짜가 나타났다 나나나나 
하나부터 열까지 모든 게 다 한 수위 
모래 벌판 위를 미친 듯이  
뛰어봐도 거뜬한 우리 
하늘은 충분히 너무나 푸르니까 
아무것도 묻지 말란 말이야  
느끼란 말이야 내가 누군지 
네 심장소리에 맞게 뛰기 시작해  
막이 끝날 때까지 YE 
I CAN’T BABY DON’T’ STOP THIS  
오늘은 타락해 미쳐 발악해 
가는거야
WOW FANTASTIC BABY 
DANCE I WANNA DAN DAN DAN DAN  
DANCE FANTASTIC BABY 
DANCE I WANNA DAN DAN DAN DAN  
DANCE WOW FANTASTIC BABY 
BOOM SHAKALAKA 
BOOM SHAKALAKA 
BOOM SHAKALAKA 
DAN DAN DAN DAN  
DANCE 
BOOM SHAKALAKA 
BOOM SHAKALAKA 
BOOM SHAKALAKA 
DAN DAN DAN DAN  
날 따라 잡아볼 테면 와봐  
난 영원한 딴따라 
오늘 밤 금기란 내겐 없어  
mama just let me be your lover 
이 혼란 속을 넘어 나나나나나 
머리끝부터 발끝까지 비쥬얼은  
쇼크 내 감각은 소문난 꾼  
앞서가는 촉 
남들보다는 빠른 걸음  
차원이 다른 젊음  
얼음얼음얼음 HOLD UP  
나나나나나 
네 심장소리에 맞게 뛰기 시작해  
막이 끝날 때까지 YE 
I CAN’T BABY DON’T’ STOP THIS  
오늘은 타락해 미쳐 발악해  
가는거야
WOW FANTASTIC BABY 
DANCE I WANNA DAN DAN DAN DAN  
DANCE FANTASTIC BABY 
DANCE I WANNA DAN DAN DAN DAN  
DANCE WOW FANTASTIC BABY 
BOOM SHAKALAKA 
BOOM SHAKALAKA 
BOOM SHAKALAKA 
DAN DAN DAN DAN  
DANCE 
BOOM SHAKALAKA 
BOOM SHAKALAKA 
BOOM SHAKALAKA 
DAN DAN DAN DAN  
다 같이 놀자 YE YE YE 
다 같이 뛰자 YE YE YE
다 같이 돌자 YE YE YE 
다 같이 가자
WOW FANTASTIC BABY",503547414 425182189
3847197,I Love You,2NE1,댄스,I Love You,TEDDY,TEDDY,20120705,https://cdnimg.melon.co.kr/cm/album/images/021/36/463/2136463_500.jpg/melon/resize/282/quality/80/optimize,99,63288,"그대 나에게만 잘해줘요 
항상 나에게만 웃어줘요 
I said Ooh 질투하게 하지 마요 
Ooh 집착하게 하지 마요 
아직 난 사랑이 두려워요 
이런 내게 믿음을 줘봐요 
I said Ooh 질투하게 하지 마요 
Ooh 집착하게 하지 마요
I LOVE YOU
I LOVE YOU
하루 종일 그대 모습 자꾸 떠올라 
온종일 울리지 않는 
전화기만 또 쳐다봐 
왜 이런 내 맘을 아직 몰라 
난 너의 마음을 아직 잘 몰라 
너의 생각에 밤엔 잠도 못 이루다 
달빛에 그대를 떠올리며 
내 맘 고백해봐 
왜 이런 내 맘을 아직 몰라 
난 너의 마음을 아직 잘 몰라 
Look at me now 
내 맘을 바라봐요 
이렇게 애타는데 
지금 날 잡아줘요 
늦기 전에 eh eheheh 
I LOVE YOU
I LOVE YOU
멈추지 마요 사랑 노래 
멋진 널 위해 불러줄게 Everyday
I say yeah yeah yeah yeah yeah yeah
I say yeah yeah yeah yeah yeah yeah
멈추지 마요 사랑의 Dance
이 밤을 그대와 보내고 싶은데
I say yeah yeah yeah yeah yeah yeah
I say yeah yeah yeah yeah yeah yeah
내 맘을 바라봐요
이렇게 애타는데
지금 날 잡아줘요
늦기 전에 eheheh eheheheh
We can't go wrong
Bring it back
밀고 당기지는 말아줘요
우리 조금만 솔직해져요
I said ooh 질투하게 하지 마요
Ooh 집착하게 하지 마요
어디서 무얼 할까 궁금해요
혹시 이런 내가 귀찮나요
I said ooh 질투하게 하지 마요
Ooh 집착하게 하지 마요
I love you everyday
Don’t get away
Take me away
I love you everyday
In everyway
널 사랑해
왜 이런 내 맘을 아직 몰라
난 너의 마음을 아직 잘 몰라
I love you everyday
Don’t get away
Take me away
I love you everyday
In everyway
널 사랑해
왜 이런 내 맘을 아직 몰라
난 너의 마음을 아직 잘 몰라",508457531 101519205
3832101,정말로 사랑한다면,버스커 버스커,록/메탈,버스커 버스커 1집 마무리,장범준,장범준,20120621,https://cdnimg.melon.co.kr/cm/album/images/021/28/229/2128229_500.jpg/melon/resize/282/quality/80/optimize,113,104282,"사랑한단 말로는 
사랑할 순 없군요
그대 상처 주네요 
나의 뻔한 그 말이
너무 쉽게 뱉은 말 
너무 쉬운 사랑은
다 거짓말이죠 
그래 다 거짓말이죠
무엇을 원하는지 
얼마나 힘든 건지
신경 쓰지 않죠 
또 쉽게 넘어 갔나요
많이 힘들었나요 
그대가 오늘은
헤어지자 말해요
정말로 사랑한담 
기다려 주세요
사랑한단 그 말들도
당신의 행동 하나 
진심만을 원하죠
정말로 사랑한담 기다려 주세요
그댈 위해 참아줘요
당신의 행동 하나 
아픈 추억 돼가요 
정말로 사랑한다면
정말로 사랑한다면
사랑한단 말로는
사랑할 순 없군요
그대 기억 하나요 
나의 뻔한 그 말이
그댈 웃게 했던 밤 
너무 깊은 그 밤은
다 지나 가네요 
모두 다 지나 갔군요
무엇을 말 했는지 
얼마나 원했는지
기억 하지 않죠 
그대만 지쳐 가나요
많이 힘들었나요  
그대가 오늘은
헤어지자 말해요
정말로 사랑한담 
기다려 주세요
사랑한단 그 말들도
당신의 행동 하나 
진심 만을 원하죠
정말로 사랑한담 
기다려 주세요
그댈 위해 참아줘요
당신의 행동 하나 
아픈 추억 돼가요 
그때 또 하필 잡으려 
건네는 이 뻔한 한마디
쉽게 뱉은 말 사랑 한단 말로는 
사랑할 순 없군요
허 허우워 아아아 허어어
아아아 이젠 사랑할 순 없군요
사랑한다 기다려 주세요
사랑한단 그 말들도
당신의 행동 하나 
진심 만을 원하죠
정말로 사랑한담 
기다려 주세요
그댈 위해 참아줘요
당신의 행동 하나 
아픈 추억 돼가요 
정말로 사랑한다면",411111859 101608363
3701333,Heaven,에일리(Ailee),발라드,Heaven,휘성 (Realslow),임수호,20120209,https://cdnimg.melon.co.kr/cm/album/images/020/77/426/2077426_500.jpg/melon/resize/282/quality/80/optimize,132,84093,"니가 있는 곳에 나도 함께 할게
니가 가는 곳에 나도 함께 갈게
널 위해서 매일 웃고
널 위해서 기도하고
니 생각에 잠들고
널 부르며 눈을 떠
내 옆에서 지켜주고
내 옆에서 감싸주는
넌 나의 천국인걸
You're my only one way
오직 너를 원해 내가
니 곁에 있음에 감사해
You're the only one babe
힘든 세상 속에 사랑을 알게 해준
너 하나로 나는 행복해
Heaven Heaven Heaven
Heaven Heaven
Heaven Heaven Heaven
Heaven Heaven
우리 함께라면
we will never cry never never cry
Heaven Heaven Heaven
Heaven Heaven
Heaven Heaven Heaven
Heaven Heaven
영원히 둘이서
never gonna be alone
니 품에서 숨을 쉬고
니 품에서 입 맞추고
니 목소릴 들으면
꿈 꾸는 것 만 같아
니 눈에서 알 수 있어
니 사랑을 알 수 있어
넌 나의 천국인걸
You're my only one way
오직 너를 원해 내가
니 곁에 있음에 감사해
You're the only one babe
힘든 세상 속에 사랑을 알게 해준
너 하나로 나는 행복해
Heaven 나만의 사람
그래 나를 지켜줄 사람
어떤 슬픔도 어떤 아픔도
너와 함께 한다면
어느 누구도 난 부럽지 않아
떨리는 두 손을 잡아줘
내가 사는 이유 너니까
You're my only one way
오직 너를 원해 내가
니 곁에 있음에 감사해
You're the only one babe
힘든 세상 속에 사랑을 알게 해준
너 하나로 나는 행복해
Heaven Heaven Heaven
Heaven Heaven
Heaven Heaven Heaven
Heaven Heaven
우리 함께라면
we will never cry never never cry
Heaven Heaven Heaven
Heaven Heaven
Heaven Heaven Heaven
Heaven Heaven
영원히 둘이서
never gonna be alone
oh so alone",508457531 503547414
3795586,하루 끝,아이유,댄스,스무 살의 봄,김이나,박근태,20120511,https://cdnimg.melon.co.kr/cm/album/images/021/21/646/2121646_500.jpg/melon/resize/282/quality/80/optimize,462,169364,"Monday Better day
처음처럼 설레이는 그런 날
Sunday Better day
종일 너만 생각하는 그런 날
욕심이 나
우리 사이 요만큼만 더 가까이
딱 한 발짝 그만큼 더 가까이
혼잣말이 속삭임이
너도 궁금할 순 있잖아
네가 좋아서 그래
나 차가운 척 표정 짓고 있지만
내 마음은 그게 아닌데 거짓말인데
바보 같은 네가 난 답답해
너무 좋아서 그래
나 시무룩한 얼굴하고 있지만
또 기다리다 고민만 하다
흘러가는 하루 끝에서 하는 말
내가 널 사랑해
One day Holiday
혼자 있긴 너무너무 싫은 날
One day Cloudy day
울 것처럼 하늘도 찌푸린 날
눈물이 와 서글픈 내 맘을 닮은 
눈물이 와
꾹 참았다 쏟아지는 내 맘이 
온 하늘에 온 세상에
그저 슬픈 건 아닐 거야
네가 좋아서 그래
나 차가운 척 표정 짓고 있지만
내 마음은 그게 아닌데 거짓말인데
바보 같은 네가 난 답답해
너무 좋아서 그래
나 시무룩한 얼굴하고 있지만
또 기다리다 고민만 하다
흘러가는 하루 끝에서 하는 말
내가 널 사랑해
내 입술엔 거짓말
내 눈 속엔 정말 하고픈 말
맘속에 숨어 있는 말
많이 좋아서 그래
뒤돌아서 느려진 발걸음을 봐
널 기다리는 맘인 거잖아 
날 지켜본 너라면 알잖아
내가 몰라서 그래
네 마음이 들리게 내게 말해줘
손 내밀면 될 것 같은데
망설이는 이유가 나와 같다면
이제 다가와 줘",503547414 411111859
3753302,첫사랑,버스커 버스커,록/메탈,버스커 버스커 1집,장범준,장기준,20120329,https://cdnimg.melon.co.kr/cm/album/images/020/97/226/2097226_500.jpg/melon/resize/282/quality/80/optimize,196,103672,"처음 널 봤을 때 왠지 다른 느낌
너와 함께 말하고 싶어
웃을 때마다 이 마음을 알아가
이젠 널 볼 때마다
나의 맘이 너무나 커져
이젠 나의 시간은
항상 너와 웃으며
이 밤을 그리워하며
하루를 아쉬워하며
또 너를 기다리겠지
나는 어떡하죠 아직 서툰데
이 마음이 새어나가
커져버린 내 마음이
자꾸만 새어나가
네가 없을 때 왠지 아픈 느낌
이 마음을 전하고 싶어
눈을 감으면 또 네가 떠올라
이젠 숨쉴 때마다
네 모습이 너무나 커져
이젠 나의 사랑은
항상 너와 웃으며
이 밤을 그리워하며
하루를 아쉬워하며
또 너를 기다리겠지
나는 어떡하죠 아직 서툰데
이 마음이 새어나가
커져버린 내 마음이
자꾸만 새어나가
아름다운 그대여 참아보려 했지만
어두워지는 밤과 외로움 알겠네 예
어떡하죠 아직 서툰데
이 마음이 새어나가
커져버린 내 마음이
자꾸만 새어나가
조금만 더 그대를 참아보려 했지만
커져버린 내 마음과
커져가는 니 마음이",411111859 101565452
3663978,Lovey-Dovey,티아라,댄스,Funky Town,신사동 호랭이,최규성,20120103,https://cdnimg.melon.co.kr/cm/album/images/020/58/067/2058067_500.jpg/melon/resize/282/quality/80/optimize,130,29114,"너무 뻔해 나는 오늘도 혼자서 
아 심심해 결국 이렇게 하루가 
우우우우우 우우우우우  
지나가겠지 
봐봐 지나가는 저기 커플 좀 봐 
나도 저렇게 사랑할 수 있는데 
우우우우우 우우우우우우  
너무나 외로워 
나도 Lovey Dovey Dovey  
Uh Uh Uh Uh  
Lovey Dovey Dovey  
Uh Uh Uh Uh 
더 이상 혼자 두지마 
이제 Lovey Dovey Dovey  
Uh Uh Uh Uh  
Lovey Dovey Dovey  
Uh Uh Uh Uh 
너는 어디에 에 Oh 
Lovey Dovey Dovey Uh Uh Uh Uh  
Lovey Dovey Dovey Uh Uh Uh Uh 
너를 꼭 찾아 낼꺼야 
너무 오래 얼어버린 나를 녹여버릴  
너는 도대체 어디에 있는지 
너무 춥네 혼자 보내는 하루가 
아 좋겠네 나도 혼자가 아니면 
우우우우우 우우우우우 
정말 좋겠네 
봐봐 여기있는 나를 좀 바라봐 
나나 오늘밤은 어둠이 정말로 
우우우우우 우우우우우우  
너무나 무서워 
나도 Lovey Dovey Dovey  
Uh Uh Uh Uh  
Lovey Dovey Dovey  
Uh Uh Uh Uh 
더 이상 혼자 두지마 
이제 Lovey Dovey Dovey  
Uh Uh Uh Uh  
Lovey Dovey Dovey  
Uh Uh Uh Uh 
너는 어디에 에 Oh 
Lovey Dovey Dovey Uh Uh Uh Uh  
Lovey Dovey Dovey Uh Uh Uh Uh 
너를 꼭 찾아 낼꺼야 
너무 오래 얼어버린 나를 녹여버릴  
너는 도대체 어디에 있는지 
혼자서 하루종일 우우우우우 
나 혼자 매일 매일 우우우우우 
어둠이 정말 정말 너없인 나  
혼자서 하루는 정말 길어  
우우우우우 우우우우우 
나도 Lovey Dovey Dovey 
Uh Uh Uh Uh 
Lovey Dovey Dovey 
Uh Uh Uh Uh
더 이상 혼자 두지마
이제 Lovey Dovey Dovey 
Uh Uh Uh Uh 
Lovey Dovey Dovey 
Uh Uh Uh Uh
너는 어디에 에 Oh
Lovey Dovey Dovey Uh Uh Uh Uh 
Lovey Dovey Dovey Uh Uh Uh Uh
너를 꼭 찾아 낼꺼야
너무 오래 얼어버린 나를 녹여버릴 
너는 도대체 어디에 있는지
우우우우우 우우우우우",508457531 478102836
3783041,Twinkle,소녀시대-태티서 (Girls' Generation-TTS),댄스,'Twinkle' Mini Album,서지음,Brandon Fraley,20120430,https://cdnimg.melon.co.kr/cm/album/images/021/17/429/2117429_500.jpg/melon/resize/282/quality/80/optimize,105,48111,"The twinkle, twinkle 
The twinkle, twinkle
숨겨도 twinkle 어쩌나
눈에 확 띄잖아 
베일에 싸여 있어도 
나는 twinkle 티가 나
딴 사람들도 다 빛나는 
나를 좋아해 
끝까지 경계해야 해 
보석을 훔친 너잖아
늘 나의 곁을 지켜줘 
내 주위만 맴돌아 
눈을 떼지 말아줘 
내 매력에 빠져
숨겨도 twinkle 어쩌나
눈에 확 띄잖아 
베일에 싸여 있어도 
나는 twinkle 티가 나
난 미지의 세계 시간을 잊어버릴걸 
아침에 눈을 떠봐도 
꿈은 계속될 거야
난 너를 위해 꾸미고 
더 예쁘게 날 반짝일래 
왜 너만 혼자 몰라 나의 진가를
숨겨도 twinkle 어쩌나
눈에 확 띄잖아 
베일에 싸여 있어도 
나는 twinkle 티가 나
너무 태연해 너무 뻔뻔해 밖에는 
날 소원하는 줄이 끝이 안 보여
말도 안되게 넌 너무 담담해 
난 하늘 아래 떨어진 별
숨겨도 twinkle 어쩌나
눈에 확 띄잖아 
베일에 싸여 있어도 
나는 twinkle 티가 나
그대의 twinkle 나를 봐 어딜 봐 
나를 봐 칙칙한 옷 속에서도 
나는 twinkle 태가 나
숨겨도 twinkle 어쩌나
눈에 확 띄잖아 베일에 싸여 있어도 
나는 twinkle 티가 나",478102836 415051158
3910821,바람기억,나얼,R&B/Soul,Principle Of My Soul,나얼,나얼,20120920,https://cdnimg.melon.co.kr/cm/album/images/021/50/856/2150856_500.jpg/melon/resize/282/quality/80/optimize,221,213611,"바람 불어와 내 맘 흔들면
지나간 세월에 
두 눈을 감아본다
나를 스치는 고요한 떨림
그 작은 소리에
난 귀를 기울여 본다
내 안에 숨쉬는
커버린 삶의 조각들이
날 부딪혀 지날 때
그 곳을 바라보리라
우리의 믿음
우리의 사랑
그 영원한 약속들을
나 추억한다면 힘차게 걸으리라
우리의 만남
우리의 이별
그 바래진 기억에
나 사랑했다면 미소를 띄우리라
내 안에 있는 
모자란 삶의 기억들이
날 부딪혀 지날 때 
그 곳을 바라보리라
우리의 믿음
우리의 사랑
그 영원한 약속들을
나 추억한다면 힘차게 걸으리라
우리의 만남
우리의 이별
그 바래진 기억에
나 사랑했다면 미소를 띄우리라",403014132 445029956
3758104,나를 사랑했던 사람아,허각,발라드,LACRIMOSO,최규성,최규성,20120403,https://cdnimg.melon.co.kr/cm/album/images/021/05/027/2105027_500.jpg/melon/resize/282/quality/80/optimize,109,110799,"잘 지내고 있는건지 무슨 일 없는지
지겹던 너의 잔소리가 너무 그리워서
그렇게 나 하나밖에 모르던 너인데
나 없이도 괜찮은지
하루에 수백번씩 나 후회를 하고
네가 없다는걸 느끼며 
나 매일을 살아
널 위해 내가 떠나야 하는게 맞지만
난 널 잊고 살 순 없는가봐
나를 사랑했던 사람아 
이젠 곁에 없지만
아직 잊지 못하고 너를 잊지 못하고
그저 한번이라도 다시 볼 수 있다면
볼 수만 있다면 
다시 널 볼 수 있다면
너무나도 아프고 잊을 수가 없어
하루에도 몇번씩 하던 
너의 그 투정이
웃으며 내 품에 안겨서 
날 보던 모습이
헤어지던 날 너의 두 눈이
나를 사랑했던 사람아 
이젠 곁에 없지만
아직 잊지 못하고 너를 잊지 못하고
그저 한번이라도 다시 볼 수 있다면
널 볼 수만 있다면
네가 있어서 
나는 항상 웃을 수 있었고
네가 있기에 내가 가장 행복했었고
너로 인해 내 삶도 살아볼만했었어
내가 너무도 사랑했던 사람아",403014132 411111859
