songId,title,artist,genre,album,lyricist,composer,date,img,comment,like,lyric,plylstSeq
30816860,뿜뿜,모모랜드 (MOMOLAND),댄스,GREAT!,신사동 호랭이,범이,20180103,https://cdnimg.melon.co.kr/cm/album/images/101/24/822/10124822_500.jpg?37051fa1c635ea26800aea8616f8284d/melon/resize/282/quality/80/optimize,1428,150398,"설레어 너와 나의 랑데뷰 
랑데뷰
내 마음을 들었다 놨다 해 맘대루 
맘대루
지금 내 눈엔 눈엔 눈엔
네 어깨 무릎 발 Oh
숨이 탁 막힐 것 같아 난 너만 보면
wow wow 
정신을 또 놔 놔 네 매력에
난 난 놀라게 돼 또 
Hit it Hit it Hit it HO
우우우 무슨 말이 필요해 넌 
숨이 콱 막힐 것 같아 넌 
자꾸만 봐 자꾸 와 
이제 나만 보게 될 거야 
너를 들었다 놓을 거야
넌 점점 더 Fall in love
Give it to you My 눈눈눈눈눈눈 눈빛
쏟아지는 My 터터터터터터 터치
하나뿐인 My 럽럽럽럽럽 My Luver
내 머리부터 뿜뿜 
내 발끝까지 뿜뿜 뿜뿜 어
Just feel it 뿜뿜
네 앞에서 난 뿜뿜 
네게 줄게 뿜뿜 뿜뿜 어
지금 보고 있는 게 꿈은 아닐 걸 
Wake Up Wake Up 
땡땡이치고 날 만나게 될 걸 
Take off Take off
매력을 야 뿜어뿜어뿜어뿜어 
보여줄게 Pic up the phone
Now or Never Pick up Pick up
wow wow 
정신없이 쿵 쿵 
내 마음을 뿜 뿜 사정없이 또 
Hit it Hit it Hit it HO
우우우 여기서 뭘 어떻게 더
낮이나 밤이나 빛이나 미쳤나봐
떨리지 막 떨려와 
이제 나만 생각 날 거야 
밤에 잠도 잘 못 잘 거야 
점점 더 Fall in love
Give it to you My 눈눈눈눈눈눈 눈빛
쏟아지는 My 터터터터터터 터치
하나뿐인 My 럽럽럽럽럽 My Luver
내 머리부터 뿜뿜 
내 발끝까지 뿜뿜 뿜뿜 어
우 너만 보면 너만 보면 
내 가슴이 뿜뿜뿜뿜
뿜뿜뿜뿜 뿜
우 자꾸 봐도 자꾸 봐도 
내 가슴이 쿵쿵쿵쿵
뿜뿜뿜뿜
Give it to you My 눈눈눈눈눈눈 눈빛
쏟아지는 My 터터터터터터 터치
하나뿐인 My 럽럽럽럽럽 My Luver
내 머리부터 뿜뿜 
내 발끝까지 뿜뿜 뿜뿜 어
Just feel it 뿜뿜
네 앞에서 난 뿜뿜 
네게 줄게 뿜뿜 뿜뿜 어",478102836 411111859
31131273,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,랩/힙합,SQUARE UP,TEDDY,TEDDY,20180615,https://cdnimg.melon.co.kr/cm/album/images/101/76/415/10176415_500.jpg?7bebc774b094d72c1c22165612ef0948/melon/resize/282/quality/80/optimize,2240,257678,"착한 얼굴에 그렇지 못한 태도
가녀린 몸매 속
가려진 volume은 두 배로
거침없이 직진
굳이 보진 않지 눈치
Black 하면 Pink
우린 예쁘장한 Savage
원할 땐 대놓고 뺏지
넌 뭘 해도 칼로 물 베기
두 손엔 가득한 fat check
궁금하면 해봐 fact check
눈 높인 꼭대기
물 만난 물고기
좀 독해 난 Toxic
You 혹해 I`m Foxy
두 번 생각해
흔한 남들처럼 착한 척은 못 하니까
착각하지 마
쉽게 웃어주는 건 날 위한 거야
아직은 잘 모르겠지
굳이 원하면 test me
넌 불 보듯이 뻔해
만만한 걸 원했다면
Oh wait til’ I do what I do
Hit you with that
ddu-du ddu-du du
Hit you with that
ddu-du ddu-du du
지금 내가 걸어가는 거린
BLACKPINK 4 way 사거리
동서남북 사방으로 run it
너네 버킷리스트
싹 다 I bought it
널 당기는 것도 멀리 밀치는 것도
제멋대로 하는 bad girl
좋건 싫어하건 누가 뭐라 하던
When the bass drop
it’s another banger
두 번 생각해
흔한 남들처럼 착한 척은 못 하니까
착각하지 마
쉽게 웃어주는 건 날 위한 거야
아직은 잘 모르겠지
굳이 원하면 test me
넌 불 보듯이 뻔해
만만한 걸 원했다면
Oh wait til’ I do what I do
Hit you with that ddu-du ddu-du du
Hit you with that ddu-du ddu-du du
What you gonna do
when I come come through
with that that uh uh huh
What you gonna do
when I come come through
with that that uh uh huh
뜨거워 뜨거워 뜨거워 like fire
뜨거워 뜨거워 뜨거워 like fire
뜨거워 뜨거워 뜨거워 like fire
뜨거워 뜨거워 뜨거워 like fire
Hit you with that ddu-du ddu-du du",478102836 411111859
30514366,선물,멜로망스,발라드 인디음악,Moonlight,김민석 (멜로망스),멜로망스,20170710,https://cdnimg.melon.co.kr/cm/album/images/100/78/176/10078176_500.jpg?fc3fe8c6bd74c16bce7ffd971a930ffa/melon/resize/282/quality/80/optimize,849,345968,"빛이 들어오면 자연스레 뜨던 눈
그렇게 너의 눈빛을 보곤
사랑에 눈을 떴어
항상 알고 있던 것들도 어딘가
새롭게 바뀐 것 같아
남의 얘기 같던 설레는 일들이
내게 일어나고 있어
나에게만 준비된 선물 같아
자그마한 모든 게 커져만 가
항상 평범했던 일상도
특별해지는 이 순간
별생각 없이 지나치던 것들이
이제는 마냥 내겐 예뻐 보이고
내 맘을 설레게 해
항상 어두웠던 것들도 어딘가
빛나고 있는 것 같아
남의 얘기 같던 설레는 일들이
내게 일어나고 있어
나에게만 준비된 선물 같아
자그마한 모든 게 커져만 가
항상 평범했던 일상도
특별해지는 이 순간
너를 알게 된 뒤 보이는
모든 것들이 너무 예뻐 보여
그렇게 신난 아이처럼
순수한 사람이 된 것 같아
나에게만 준비된 선물 같아
자그마한 모든 게 커져만 가
항상 평범했던 일상도
특별해지는 이 순간
깊은 사랑에 빠진 순간",411111859 101608363
31151836,Way Back Home,숀 (SHAUN),인디음악 일렉트로니카,Take,이지혜,제이큐(JQ),20180627,https://cdnimg.melon.co.kr/cm/album/images/101/79/508/10179508_500.jpg?7a5f915026311f6a136facc7aa9f196c/melon/resize/282/quality/80/optimize,11665,356935,"멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
아무리 힘껏 닫아도
다시 열린 서랍 같아
하늘로 높이 날린 넌
자꾸 내게 되돌아와
힘들게 삼킨 이별도
다 그대로인 걸
oh oh oh
수없이 떠난 길 위에서
난 너를 발견하고
비우려 했던 맘은 또
이렇게 너로 차올라
발걸음의 끝에
늘 니가 부딪혀
그만
그만
멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
조용히 잠든 방을 열어
기억을 꺼내 들어
부서진 시간 위에서
선명히 너는 떠올라
길 잃은 맘 속에
널 가둔 채 살아
그만
그만
멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
세상을 뒤집어
찾으려 해
오직 너로 완결된
이야기를
모든 걸 잃어도
난 너 하나면 돼
빛이 다 꺼진 여기
나를 안아줘
눈을 감으면
소리 없이 밀려와
이 마음 그 위로
넌 또 한 겹 쌓여가
내겐 그 누구도 아닌
니가 필요해
돌아와 내 곁에
그날까지
I’m not done",403014132 411111859
30884950,그때 헤어지면 돼,로이킴,발라드,그때 헤어지면 돼,로이킴,로이킴,20180212,https://cdnimg.melon.co.kr/cm/album/images/101/37/574/10137574_500.jpg?c58e356ef2aa95f2b6ccea17c4557268/melon/resize/282/quality/80/optimize,1123,234044,"나를 사랑하는 법은 어렵지 않아요
지금 모습 그대로 나를 꼭 안아주세요
우리 나중에는 어떻게 될진 몰라도
정해지지 않아서 그게 나는 좋아요 
남들이 뭐라는 게 뭐가 중요해요
서로가 없음 죽겠는데 뭐를 고민해요
우리 함께 더 사랑해도 되잖아요
네가 다른 사람이 좋아지면 
내가 너 없는 게 익숙해지면 
그때가 오면 그때가 되면 
그때 헤어지면 돼
너를 사랑하는 법도 어렵지 않아요 
한 번 더 웃어주고 조금 더 아껴주면
우리 사랑하는 법도 어렵지 않아요
매일 처음 만난 눈빛으로 
서로를 바라봐 주면
남들이 뭐라는 게 뭐가 중요해요
서로가 없음 죽겠는데 뭐를 고민해요
우리 함께 더 사랑해도 되잖아요
네가 다른 사람이 좋아지면 
내가 너 없는 게 익숙해지면 
그때가 오면 그때가 되면 그때 
그때 그때 
네가 원하든 말든 널 잡을 거고 
내가 더 이상 지쳐 걷지 못할 때 
그때가 오면 그때가 되면
그때 헤어지면 돼 
그때 헤어지면 돼",440786524 411111859
31093710,여행,볼빨간사춘기,인디음악 록/메탈,Red Diary Page.2,안지영,안지영,20180524,https://cdnimg.melon.co.kr/cm/album/images/101/70/069/10170069_500.jpg?107db514a95bc76cca29db1d2678921b/melon/resize/282/quality/80/optimize,1710,293353,"저 오늘 떠나요 공항으로
핸드폰 꺼 놔요
제발 날 찾진 말아줘
시끄럽게 소리를 질러도
어쩔 수 없어 나
가볍게 손을 흔들며 bye bye
쉬지 않고 빛났던 꿈같은
my youth
이리저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어
나 떠날 거야 다 비켜
I fly away
Take me to London
Paris New York city들
아름다운 이 도시에 빠져서 나
Like I'm a bird bird
날아다니는 새처럼
난 자유롭게 fly fly
나 숨을 셔
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔
저 이제 쉬어요 떠날 거예요 
노트북 꺼 놔요
제발 날 잡진 말아줘
시끄럽게 소리를 질러도
어쩔 수 없어 나
가볍게 손을 흔들며 see ya
쉬지 않고 빛났던 꿈같은
my youth
이리 저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어
나 떠날 거야 다 비켜
I fly away
Take me to London Paris
New York city들
아름다운 이 도시에 빠져서 나
Like I'm a bird bird
날아 다니는 새처럼
난 자유롭게 fly fly
나 숨을 셔
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔
I can fly away
Fly always always always
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔",478102836 411111859
30849733,You,멜로망스,발라드,투유 프로젝트 - 슈가맨2 Part.2,신영웅,신영웅,20180122,https://cdnimg.melon.co.kr/cm/album/images/101/31/018/10131018_500.jpg?6492d1d61dd5e445684ba4f1c50a5beb/melon/resize/282/quality/80/optimize,445,184326,"어떻게 난 해야 해 
니가 떠난다고 말하면 
난 혼자 남겨지는 게 
더 두려울 텐데 
이유를 말해준다면 
조금 편할 것 같아 
아주 작은 손짓조차도 
내겐 소중한 
너를 잊을 수 없는 
슬픈 기억 속으로 보내 
잠 못 이루겠지
YOU 비가 오는 거리에 
혼자 버려진 채로 
서 있는 날 생각해 봤니 
혼자 있는 밤이면 
니가 잠이 들던 자리엔 
슬피 우는 나의 눈물로 
모두 젖어 들 거야
모두가 말했었어 
둘이 잘 어울린다고 
그럴 땐 넌 내 품에 기대어왔어 
이젠 눈을 감으면 
꿈속에서 널 만나 
긴 밤을 지내다 
널 아침이 되면 
난 잠에서 깨어 
다시 보내고 난 후 
아파 눈물 흘리겠지 
YOU 비가 오는 거리에 
혼자 버려진 채로 
서 있는 날 생각해 봤니  
혼자 있는 밤이면 
니가 잠이 들던 자리에 
슬피 우는 나의 눈물로 
모두 젖어 들 거야 
YOU 비가 오는 거리에 
혼자 버려진 채로 
서 있는 날 생각해봤니  
혼자 있는 밤이면 
니가 잠이 들던 자리에 
슬피 우는 나의 눈물로 
모두 젖어 들 거야",403014132 411111859
30937275,별이 빛나는 밤,마마무 (Mamamoo),댄스,Yellow Flower,김도훈 (RBW),박우상,20180307,https://cdnimg.melon.co.kr/cm/album/images/101/45/303/10145303_500.jpg?9b798c0b0a5c157319f49a6cc30907ac/melon/resize/282/quality/80/optimize,1515,180385,"손끝이 시리더니 벌써 봄이 왔네
꿈같은 바람이 불어 곳곳에
여느 때 와는 다른 듯한
이 기분이 반가워
내일은 좀 다른 날이 되려나
어둠의 그림자 깊은 이 밤에 남겨진
달이 달이 밝아와
빛을 그리고 있어
내 몸에서 널 뺀 만큼
욕조에 물이 미련이 되어 넘쳐흘러
한숨이 가득 그 공간을 채워
새벽이 찾아오면
혼자 남겨질 때면
Starry night
별이 빛나는 밤
네가 휘휘휘 불어와
너와 나 나눈 수많은 밤
나를 취하게 만들어
별이 빛나는 밤
야야야야이야
별이 빛나는 밤
야야야야야야야 별이 빛나는 밤
겨울이 지나고 또다시 꽃은 피고
따뜻한 공기 냄새가 날 감싸
달라진 거 없는
똑같은 일상이 반복돼
그래도 내일을 기다려봐
하루에 끝에서 이 자리에 남아서
날이 날이 새도록
너를 그리고 있어
Do you want me to leave
No 난 그 자리 그대로
까만 밤하늘에 가려
잠시 보이지 않는 거야
새벽이 찾아오면
혼자 남겨질 때면
Starry night
별이 빛나는 밤
네가 휘휘휘 불어와
너와 나 나눈 수많은 밤
나를 취하게 만들어
별이 빛나는 밤
야야야야이야
별이 빛나는 밤
야야야야야야야 별이 빛나는 밤
Starry Starry Night
네가 없는 밤
가슴이 공허해
우리의 풍경이 저물어가
현실을 부정해 눈을 감아도
네가 보여 왜 아른거려
Leave me alone
무너져 가네
Starry night
별이 빛나는 밤
네가 휘휘휘 불어와
너와 나 나눈 수많은 밤
나를 취하게 만들어
별이 빛나는 밤
야야야야이야
별이 빛나는 밤
야야야야야야야 별이 빛나는 밤",403014132 478102836
31035061,주지마,로꼬,발라드,건반 위의 하이에나 Part.4,로꼬,화사 (Hwa Sa),20180421,https://cdnimg.melon.co.kr/cm/album/images/101/60/487/10160487_500.jpg?321559ebde2bf84c748bb1ae6865acdb/melon/resize/282/quality/80/optimize,1349,205091,"위험해 아슬아슬해
간신히 끈을 잡았는데
넌 가위질을 하려고 해
너의 호의는 필요 없어
인내심이 많지 않아 내겐
유혹으로밖에 안 보여
오지마 내게 오지마
선 넘지마 please
주지마 술은 주지마
취하면 너 어떻게 해볼라니까
넌 내게 술을 권하지마
후회할 걸 알아
넌 내게 용기를 주지마
오늘뿐인 걸 알고 있어
내게 진심을 바라면
그 술은 절대 주지마
헛소릴 하고 악마의 춤을 출거니까
마치 밖엔 시원한 바람이 불지만
세상이 너무 험해서
널 내 옆에만 둘 거니까
남자는 전부 똑같대
아니 술 마신 남잔 다 똑같애
너 말곤 아무것도 안 보인다는 건
니가 아닌 다른 것들은
다 잊고 있는 거야
그러니까 내게 술을 주지마
맨 정신에도 충분히 외로우니까
가위질을 하게 날 내버려 두지마
사랑 찍고 본능 알기 전에
너부터 먼저 알고 싶으니까
야 이성적이고 싶어
이게 나잇값이라는데
싸게 주고 싶어
굳이 움직이지 않아도 돼
내가 하는 말이 수작이 되지 않게
기분 좋게 우리 물 잔으로 짠 해
넌 내게 술을 권하지마
후회할 걸 알아
넌 내게 용기를 주지마
오늘뿐인 걸 알고 있어
한잔 두잔 비워내기 싫어
더 이상 내게 높은 기분을 주지마
한잔 두잔 비워내기 싫어
자꾸 건배하듯이 눈을 맞추지마
한잔 두잔 비워내기 싫어
한잔 두잔 비워내기 싫어
I DON’T CARE WHO YOU ARE
DON’T MAKE ME CRY
I DON’T CARE WHO YOU ARE
I DON’T CARE WHO YOU ARE
DON’T LET ME LIE
I DON’T CARE WHO YOU ARE
I DON’T CARE WHO YOU ARE
DON’T MAKE ME CRY
I DON’T CARE WHO YOU ARE
I DON’T CARE WHO YOU ARE
DON’T LET ME LIE
I DON’T CARE WHO YOU ARE",411111859 409180131
30844118,Roller Coaster,청하,댄스,Offset,블랙아이드 필승,전군,20180117,https://cdnimg.melon.co.kr/cm/album/images/101/29/940/10129940_500.jpg?7927567fafcd0927e9ea69da7ae70582/melon/resize/282/quality/80/optimize,1219,188430,"I remember very first time in love 
I remember oh oh 
I remember oh oh 
너도 같은 기분일까 so I'm in love 
I remember oh oh 
I remember oh 
어머 이래도 되는지 싶어 aha 
그래 너 때문에 매일 즐거워 
조금 서두르는 것 같아도 baby 
I need your love oh oh 
I need your love oh oh oh 
심장이 훅 내려앉게 달콤해 
가끔은 상처받을까 걱정돼 
처음부터 모든 걸 알 순 없겠지 
하지만 난 다 던져볼래 
자꾸 아찔한 이 느낌 
위험한 이 느낌 
내 손을 꼭 잡아줘 I want you 
흔들리지 않게 조금 더 뜨겁게 
나를 꼭 더 안아줘 
넌 롤러코스터 ooh ahh 
롤러코스터 uh woh ahh
I need your love ooh ahh
baby your love uh woh ahh
빤히 바라볼 때 가슴이 떨려
아닌 척 해봐도 뻔히 다 걸려
내가 먼저 말하지 않아도
이미 다 알아
넌 내 맘과 같아 aha
너무 빠른 건 아닐까 싶어 aha
근데 너 때문에 매일 새로워
조금 서툴러도 눈 감아줘 baby
I need your love oh oh
I need your love oh oh oh
시간이 멈춘 것처럼 달콤해
갑자기 날 떠날까 봐 걱정돼
처음부터 모든 걸 알 순 없겠지
하지만 난 다 던져볼래
자꾸 아찔한 이 느낌
위험한 이 느낌
내 손을 꼭 잡아줘 I want you
흔들리지 않게 조금 더 뜨겁게
나를 꼭 더 안아줘
넌 롤러코스터 ooh ahh
롤러코스터 uh woh ahh
I need your love ooh ahh
Baby your love uh woh ahh
어쩌다 찾아온 내 사랑
I love you I love you
모든 게 꿈이 아니기를
I love you I love you
Look
넌 롤러코스터 ooh ahh
넌 롤러코스터 baby
롤러코스터 uh woh ahh
롤러코스터 baby
I need your love ooh ahh
baby I need you love
baby your love uh woh ahh
롤러코스터
롤러코스터",478102836 411111859
