songId,title,artist,genre,album,lyricist,composer,date,img,comment,like,lyric,plylstSeq
608059,목로주점,이연실,포크/블루스,고운노래모음,이연실,이연실,1989,https://cdnimg.melon.co.kr/cm/album/images/000/40/094/40094_500.jpg/melon/resize/282/quality/80/optimize,6,1837,"멋드러진 친구 내 오랜 친구야
언제라도 그 곳에서 껄껄껄 웃던
멋드러진 친구 내 오랜 친구야
언제라도 그 곳으로 찾어오라던
이왕이면 더 큰 잔에 술을 따르고
이왕이면 마주 앉아
마시자 그랬지
그래 그렇게 마주 앉아서
그래 그렇게 부딪혀 보자
가장 멋진 목소리로 기원하려마
가장 멋진 웃음으로 화답해줄께
오늘도 목로주점 흙바람 벽엔 
삼십촉 백열등이 그네를 탄다
월말이면 월급타서 로프를 사고
연말이면 적금타서 낙타를 사자
그래 그렇게 산엘 오르고
그래 그렇게 사막엘 가자
가장 멋진 내 친구야 빠트리지마
한다스의 연필과 노트 한권도
오늘도 목로주점 흙바람 벽엔
삼십촉 백열등이 그네를 탄다",439176590 417390002
52881,물망초,조용필,성인가요/트로트,조용필 3집,이희우,조용필,19810710,https://cdnimg.melon.co.kr/cm/album/images/000/04/838/4838_500.jpg/melon/resize/282/quality/80/optimize,5,508,"한 여자가 울고있는 비오는 거리

밤새도록 가로등도 비에 젖었네
슬퍼할수 없어요
잊을수도 없어요
이슬에 맺혔네 두눈에 맺혔네
눈물인가 빗물인가
눈물인가 빗물인가
잊지마세요 잊지마세요
잊지마세요 잊지마세요
마음은 비가되어
마음은 강물이 되어
고향바다 그 얼굴 찾아가누나
한없는 기다림만 가슴에 담아
내 마음을 묶어버린 나는 물망초

슬퍼할수 없어요
잊을수도 없어요
이슬에 맺혔네 두눈에 맺혔네
눈물인가 빗물인가
눈물인가 빗물인가
잊지마세요 잊지마세요
잊지마세요 잊지마세요
마음은 비가되어
마음은 강물이 되어
고향바다 그 얼굴 찾아가누나
한없는 기다림만 가슴에 담아
내 마음을 묶어버린
나는 물망초",439176590 422156879
52876,미워 미워 미워,조용필,성인가요/트로트,조용필 3집,정욱,정풍송,19810710,https://cdnimg.melon.co.kr/cm/album/images/000/04/838/4838_500.jpg/melon/resize/282/quality/80/optimize,1,525,"나뭇잎이 떨어져
바람결에 뒹굴고
내마음도 갈곳 잃어
낙엽따라 헤매네
잊으라는 그 한마디
남기고 가버린
사랑했던 그 사람
미워 미워 미워
잊으라면 잊지요
잊으라면 잊지요
그 까짓 것 못 잊을까봐

이슬비가 내리네
소리없이 내리네
님을 잃은 내 가슴을
하염없이 적시네
잊으라는 그 한마디
남기고 갈 바엔
사랑한다 왜 그랬나요
미워 미워 미워
잊으라면 잊지요
잊으라면 잊지요
그 까짓 것 못 잊을까봐",439176590 457533610
49834,바람이려오,이용,성인가요/트로트,잊혀진 계절,황풀잎,황풀잎,19820217,https://cdnimg.melon.co.kr/cm/album/images/000/06/739/6739_500.jpg/melon/resize/282/quality/80/optimize,1,836,"그대 잠든 머리맡에
가만히 앉아
이 밤을 지키는 나는 
나는 바람 바람 이려오
그대 잠든 모습처럼
가만히 앉아
이 밤을 지키는 나는 
나는 어둠 어둠 이려오
멀리서 멀리서 
밝아 오는 아 침이
나의 노래 천국의 노래 
삼켜버려요
날개짓 하면서
밝아 오는 아 침이
나의 노래 천국의 노래 
흩어 놓아요
산들 산들 불어오는
포근한 바람
이 밤을 지키는 나는 
나는 바람 바람 이려오

멀리서 멀리서 
밝아 오는 아 침이
나의 노래 천국의 노래 
삼켜버려요
날개짓 하면서
밝아 오는 아 침이
나의 노래 천국의 노래 
흩어 놓아요
산들 산들 불어오는
포근한 바람
이 밤을 지키는 나는 
나는 바람 바람 이려오
이 밤을 지키는 나는 
나는 어둠이려오",439176590 402245356
3618917,벌써 나를 잊으셨나요,야생마,록/메탈,그룹사운드 슈퍼히트 콜렉션 (이제는 / 그리운 건 너),이종환,김갑춘,19910101,https://cdnimg.melon.co.kr/cm/album/images/020/37/926/2037926_500.jpg/melon/resize/282/quality/80/optimize,0,43,"벌써 나를 잊으셨나요
사랑했던 그날을
아직도 내 마음에 남아 있는데
벌써 나를 잊으셨나요
사랑은 이렇게도 내 마음을
아프게 만들 줄은 몰랐어요
당신은 떠나도 여자이기에
잊을 수가 없어요
벌써 나를 잊으셨나요
사랑했던 그날을
아직도 내 마음에 남아 있는데
벌써 나를 잊으셨나요
사랑은 이렇게도 내 마음을
아프게 만들 줄은 몰랐어요
당신은 떠나도 여자이기에
잊을 수가 없어요
사랑은 이렇게도 내 마음을
아프게 만들 줄은 몰랐어요
당신은 떠나도 여자이기에
잊을 수가 없어요
잊을 수가 없어요",484029536 460454151
67866,"별, 달, 장미, 백합",김만수,포크/블루스,김만수 히트전집,김만수,김만수,1992,https://cdnimg.melon.co.kr/cm/album/images/000/05/590/5590_500.jpg/melon/resize/282/quality/80/optimize,0,91,"어떻하면 내 마음을 전할까
좋아하는 이 맘을
밤하늘의 빛나는 별처럼
까만 두눈 당신께
어떻하면 내 마음을 전할까
사랑하는 이 맘을
밤하늘의 떠가는 달처럼
하얀얼굴 당신께
장미같은 그 입술
백합같은 그 모습
언제 언제까지나
당신만을 사랑해 사랑해
어떻하면 내 마음을 전할까
좋아하는 이 맘을
별 달 장미 백합 당신께
아름다운 당신께

장미같은 그 입술
백합같은 그 모습
언제 언제까지나
당신만을 사랑해 사랑해
어떻하면 내 마음을 전할까
좋아하는 이 맘을
별 달 장미 백합 당신께
아름다운 당신께
별 달 장미 백합 당신께
아름다운 당신께
아름다운 당신께
아름다운 당신께
아름다운 당신께",439176590 484029536
66180,별이여 사랑이여,사랑의 하모니,성인가요/트로트,야화/별이여 사랑이여,이경배,이경오,19820710,https://cdnimg.melon.co.kr/cm/album/images/000/06/131/6131_500.jpg/melon/resize/282/quality/80/optimize,0,203,"한 잔 또 한 잔을 마셔도 
취하는 건 마찬가지지 
이 밤도 외로움에 잠 못 이루고 
홀로 이 별을 헨다네 
해맑은 눈동자로 별을 헤며 
사랑을 약속했던 님 
다시는 만날 수는 없어도 
잊을 수는 없는거지 
 
밤하늘에 빛나는 별들만큼이나 
흐르다 맴돌다 지쳐버리면 
벌써 잊혀져간 옛사랑을 
술 잔에 남겨 놓고서 
말없이 웃음짖는 입가에 
별빛만 흘러 내리네",439176590 417390002
52856,보고픈걸 어떻게,계은숙,성인가요/트로트,계은숙 골든,안언자,이민우,19891105,https://cdnimg.melon.co.kr/cm/album/images/000/03/556/3556_500.jpg/melon/resize/282/quality/80/optimize,1,124,"보고픈걸 어떻게
그래서 찾아왔지요
외로운걸 어떻게
당신이 달래줘야지
좋아하는 그 사이
누가 뭐라 하나요
보고플때 못 보면
마음의 병이 되지요
어어어
보고픈걸 어떻게
그래서 찾아왔지요
외로운걸 어떻게
당신이 달래줘야지
좋아하는 그 사이
누가 뭐라 하나요
보고플때 못보면
마음의 병이 되지요
어어어
보고픈걸 어떻게
그래서 찾아왔지요
외로운걸 어떻게
당신이 달래줘야지
당신이 달래줘야지
당신이 달래줘야지",438230238 426368087
934711,봄 여름 가을 겨울,김현식,록/메탈,김현식 새노래,김현식,김현식,19800606,https://cdnimg.melon.co.kr/cm/album/images/003/08/430/308430_500.jpg/melon/resize/282/quality/80/optimize,10,806,"봄이 오면 강산에 꽃이 피고
여름이면 꽃들이 만발하네
가을이면 강산에 단풍들고
겨울 오면 아이들의 눈장난
아름다운
아 우리 강산
봄 여름 가을 아 아 아 겨울
해가 바뀌어도 변하지 않는
아름다운 우리 강산
해가 바뀌어도 변하지 않는
아름다운 우리 강산
봄 여름 가을 겨울

봄이 오면 강산에 꽃이 피고
여름이면 꽃들이 만발하네
가을이면 강산에 단풍들고
겨울 오면 아이들의 눈장난
아 아름다운
아 우리 강산
봄 여름 가을 아 아 아 겨울
해가 바뀌어도 변하지 않는
아름다운 우리 강산
해가 바뀌어도 변하지 않는
아름다운 우리 강산
봄 여름 가을 겨울",101595816 439176590
1054749,사랑이여!,유심초,성인가요/트로트,나는 홀로 있어도,최용식,최용식,19801101,https://cdnimg.melon.co.kr/cm/album/images/003/11/596/311596_500.jpg/melon/resize/282/quality/80/optimize,1,446,,425524406 439176590
